time,predicted,predictedlat,predicted1,predictedlat1,actual
1588123337818,1718,1719,999,1000,53
1588123348753,1718,1719,999,1000,94
1588123362182,1718,1719,999,1000,62
1588123373756,1718,1720,999,1001,87
1588123385685,1718,1720,999,1001,55
1588123397953,1718,1720,999,1001,52
1588123409175,1718,1719,999,1000,81
1588123421537,1718,1719,999,1000,755
1588123433161,1718,1719,999,1000,86
1588123444707,1718,1721,999,1002,52
1588123456339,1718,1721,999,1002,67
1588123467614,1718,1721,999,1002,95
1588123478877,1718,1719,999,1000,43
1588123489952,1718,1719,999,1000,62
1588123501151,1718,1719,999,1000,50
1588123512257,1718,1719,999,1000,50
1588123523649,1718,1719,999,1000,58
1588123534922,1718,1719,999,1000,79
1588123546399,1718,1719,999,1000,60
1588123557626,1718,1719,999,1000,62
1588123568697,1718,1719,999,1000,103
1588123580876,1718,1719,999,1000,72
1588123593353,1718,1719,999,1000,73
1588123604668,1718,1719,999,1000,78
1588123616183,1718,1719,999,1000,98
1588123628579,1718,1719,999,1000,172
1588123645135,1718,1719,2147483647,2147483648,90
1588123680365,1492,1500,147,155,38
1588123705592,1492,1500,216,224,124
1588123727660,1319,1320,199,200,59
1588123747457,1319,1322,171,174,45
1588123784217,1319,1321,155,157,208
1588123822412,1319,1356,2348,2385,40
1588123866774,1376,2129,2234,2987,1000
1588123888959,1376,2129,2122,2875,962
1588123938328,1974,3741,2221,3988,40
1588123954499,1974,3741,1822,3589,36
1588123969791,1974,1988,1323,1337,68
1588123985820,1946,1960,1323,1337,598
1588124015090,1946,2543,1322,1919,836
1588124039583,1946,1949,1546,1549,44
1588124060117,1946,1960,1642,1656,25
1588124096499,1946,2195,1567,1816,2108
1588124136537,334,631,949,1246,2422
1588124156677,334,631,857,1154,242
1588124177281,334,392,966,1024,169
1588124196022,334,339,829,834,119
1588124229345,334,346,1230,1242,2454
1588124270753,108,532,512,936,1722
1588124295120,108,532,854,1278,42
1588124311687,108,115,542,549,119
1588124332995,108,301,1151,1344,182
1588124355555,108,301,1122,1315,299
1588124376190,216,307,1228,1319,45
1588124446040,216,3313,377,3474,1181
1588124508752,216,1044,285,1113,649
1588124539500,216,286,333,403,371
1588124574585,216,218,180,182,276
1588124618781,216,248,288,320,1445
1588124648892,590,708,211,329,294
1588124683827,590,939,222,571,695
1588124718165,590,791,308,509,60
1588124740419,590,791,319,520,702
1588124765758,590,737,270,417,1795
1588124792728,590,616,151,177,18
1588124813610,590,595,222,227,157
1588124836135,590,595,277,282,46
1588124857343,590,612,169,191,177
1588124881934,590,728,167,305,40
1588124907379,590,728,162,300,1202
1588124943929,1729,2413,264,948,103
1588125031041,1729,2450,204,925,5217
1588125071508,1729,1767,308,346,1881
1588125112557,1729,2424,113,808,2345
1588125142616,1729,1844,224,339,28
1588125162367,1729,1844,224,339,496
1588125192201,1729,1861,160,292,403
1588125214460,1729,1802,142,215,149
1588125235982,1729,1746,243,260,77
1588125257442,1729,1746,599,616,18
1588125291944,1729,1882,406,559,832
1588125334690,98,492,715,1109,125
1588125368612,98,507,502,911,519
1588125397620,98,507,1051,1460,335
1588125432548,98,387,750,1039,31
1588125465305,98,207,698,807,1059
1588125487964,98,247,479,628,1480
1588125508420,98,105,621,628,269
1588125531455,98,105,628,635,97
1588125554077,98,100,465,467,30
1588125579782,98,115,988,1005,295
1588125604367,98,115,668,685,210
1588125632978,98,243,768,913,166
1588125652842,98,111,501,514,24
1588125680990,98,111,520,533,195
1588125705033,98,105,478,485,26
1588125836780,62,1675,809,2422,7999
1588125865236,62,266,603,807,2043
1588125891904,62,266,687,891,58
1588125927049,62,112,657,707,566
1588125953944,62,188,478,604,1320
1588125988126,62,216,391,545,38
1588126025535,62,303,794,1035,28
1588126048610,62,77,530,545,96
1588126074690,62,114,640,692,58
1588126104136,62,114,328,380,281
1588126131392,62,65,376,379,70
1588126156840,62,72,466,476,72
1588126173762,62,93,447,478,83
1588126194760,62,93,487,518,30
1588126216506,62,67,509,514,29
1588126238192,62,110,335,383,83
1588126261233,62,110,317,365,794
1588126406226,124,2129,565,2570,3936
1588126459451,124,235,133,244,519
1588126477672,124,235,129,240,117
1588126496100,124,165,74,115,59
1588126513593,124,165,74,115,248
1588126532037,124,243,112,231,714
1588126552852,124,146,103,125,40
1588126570536,124,146,102,124,84
