name,time,mean,service_name
average_duration_60s,1587916860000000000,722182333.3333334,istio-ingressgateway
average_duration_60s,1587916860000000000,4408500,istio-mixer
average_duration_60s,1587916920000000000,739673344.5378151,istio-ingressgateway
average_duration_60s,1587916920000000000,21573666.666666668,istio-mixer
average_duration_60s,1587916920000000000,10958666.666666666,auth.default
average_duration_60s,1587916920000000000,760561918.3673469,flight.default
average_duration_60s,1587916920000000000,85130189.65517241,booking.default
average_duration_60s,1587916920000000000,7002055.555555556,customer.default
average_duration_60s,1587916980000000000,49063596.491228074,booking.default
average_duration_60s,1587916980000000000,7924457.142857143,customer.default
average_duration_60s,1587916980000000000,18761800,auth.default
average_duration_60s,1587916980000000000,802101509.1463414,istio-ingressgateway
average_duration_60s,1587916980000000000,227000,istio-mixer
average_duration_60s,1587916980000000000,1065092510.2880658,flight.default
average_duration_60s,1587917040000000000,529500,istio-mixer
average_duration_60s,1587917040000000000,1058889218.6234818,flight.default
average_duration_60s,1587917040000000000,22200600,auth.default
average_duration_60s,1587917040000000000,47981192.98245614,booking.default
average_duration_60s,1587917040000000000,8097108.108108108,customer.default
average_duration_60s,1587917040000000000,771488873.1988473,istio-ingressgateway
average_duration_60s,1587917100000000000,7615062.5,customer.default
average_duration_60s,1587917100000000000,557595245.8333334,istio-ingressgateway
average_duration_60s,1587917100000000000,37635500,auth.default
average_duration_60s,1587917100000000000,401500,istio-mixer
average_duration_60s,1587917100000000000,822158493.5897436,flight.default
average_duration_60s,1587917100000000000,70017941.1764706,booking.default
average_duration_60s,1587917160000000000,151903000,flight.default
average_duration_60s,1587917160000000000,39823772.72727273,booking.default
average_duration_60s,1587917160000000000,22095407.407407407,auth.default
average_duration_60s,1587917160000000000,8878450,customer.default
average_duration_60s,1587917160000000000,134976520.11494252,istio-ingressgateway
average_duration_60s,1587917160000000000,964250,istio-mixer
average_duration_60s,1587917220000000000,123647758.71313673,istio-ingressgateway
average_duration_60s,1587917220000000000,20878812.5,auth.default
average_duration_60s,1587917220000000000,132554379.06137185,flight.default
average_duration_60s,1587917220000000000,25639049.38271605,booking.default
average_duration_60s,1587917220000000000,8635125,customer.default
average_duration_60s,1587917280000000000,19224492.753623188,booking.default
average_duration_60s,1587917280000000000,11191159.090909092,customer.default
average_duration_60s,1587917280000000000,20613666.666666668,auth.default
average_duration_60s,1587917280000000000,252000,istio-mixer
average_duration_60s,1587917280000000000,126297980.83067092,istio-ingressgateway
average_duration_60s,1587917280000000000,75181161.29032259,flight.default
average_duration_60s,1587917340000000000,122213470.77922077,istio-ingressgateway
average_duration_60s,1587917340000000000,61373081.08108108,flight.default
average_duration_60s,1587917340000000000,19981842.10526316,auth.default
average_duration_60s,1587917340000000000,22826029.85074627,booking.default
average_duration_60s,1587917340000000000,7640483.870967742,customer.default
average_duration_60s,1587917340000000000,297000,istio-mixer
average_duration_60s,1587917400000000000,9826114.285714285,customer.default
average_duration_60s,1587917400000000000,3268500,istio-mixer
average_duration_60s,1587917400000000000,23314200,auth.default
average_duration_60s,1587917400000000000,116383383.21167883,istio-ingressgateway
average_duration_60s,1587917400000000000,46487838.23529412,flight.default
average_duration_60s,1587917400000000000,16396446.808510639,booking.default
average_duration_60s,1587917460000000000,172075776.37130803,flight.default
average_duration_60s,1587917460000000000,65823508.19672131,booking.default
average_duration_60s,1587917460000000000,37071904.76190476,auth.default
average_duration_60s,1587917460000000000,11334977.777777778,customer.default
average_duration_60s,1587917460000000000,43953500,istio-mixer
average_duration_60s,1587917460000000000,396173520.71005917,istio-ingressgateway
average_duration_60s,1587917520000000000,22086200,istio-mixer
average_duration_60s,1587917520000000000,539903592.1450151,istio-ingressgateway
average_duration_60s,1587917520000000000,36497875,auth.default
average_duration_60s,1587917520000000000,191011089.68609866,flight.default
average_duration_60s,1587917520000000000,47276468.75,booking.default
average_duration_60s,1587917520000000000,19261454.545454547,customer.default
average_duration_60s,1587917580000000000,186287378.78787878,booking.default
average_duration_60s,1587917580000000000,21706900,customer.default
average_duration_60s,1587917580000000000,26735733.333333332,auth.default
average_duration_60s,1587917580000000000,490000,istio-mixer
average_duration_60s,1587917580000000000,611441584.1269841,istio-ingressgateway
average_duration_60s,1587917580000000000,269669287.0813397,flight.default
average_duration_60s,1587917640000000000,728810183.3810889,istio-ingressgateway
average_duration_60s,1587917640000000000,758748196.0784314,flight.default
average_duration_60s,1587917640000000000,17554076.923076924,auth.default
average_duration_60s,1587917640000000000,401672449.2753623,booking.default
average_duration_60s,1587917640000000000,17696685.714285713,customer.default
average_duration_60s,1587917640000000000,192500,istio-mixer
average_duration_60s,1587917700000000000,12773184.210526315,customer.default
average_duration_60s,1587917700000000000,4982750,istio-mixer
average_duration_60s,1587917700000000000,27875437.5,auth.default
average_duration_60s,1587917700000000000,719593225,istio-ingressgateway
average_duration_60s,1587917700000000000,922018543.8596492,flight.default
average_duration_60s,1587917700000000000,84217111.1111111,booking.default
average_duration_60s,1587917760000000000,129465215.51724137,flight.default
average_duration_60s,1587917760000000000,25102777.777777776,booking.default
average_duration_60s,1587917760000000000,16892250,auth.default
average_duration_60s,1587917760000000000,8775780.487804879,customer.default
