name,time,mean,service_name
average_duration_20s,1587917060000000000,1045946402.5974026,flight.default
average_duration_20s,1587917080000000000,21375777.777777776,auth.default
average_duration_20s,1587917080000000000,1048362957.1428572,flight.default
average_duration_20s,1587917080000000000,75234529.41176471,booking.default
average_duration_20s,1587917080000000000,732994019.8019803,istio-ingressgateway
average_duration_20s,1587917080000000000,4666833.333333333,customer.default
average_duration_20s,1587917100000000000,744418259.6153846,istio-ingressgateway
average_duration_20s,1587917100000000000,6747833.333333333,customer.default
average_duration_20s,1587917100000000000,1027521176.4705882,flight.default
average_duration_20s,1587917100000000000,401500,istio-mixer
average_duration_20s,1587917100000000000,19349250,auth.default
average_duration_20s,1587917100000000000,78623200,booking.default
average_duration_20s,1587917120000000000,1055889825,flight.default
average_duration_20s,1587917120000000000,73826823.52941176,booking.default
average_duration_20s,1587917120000000000,607356828.5714285,istio-ingressgateway
average_duration_20s,1587917120000000000,5560214.285714285,customer.default
average_duration_20s,1587917120000000000,17617428.57142857,auth.default
average_duration_20s,1587917140000000000,14144166.666666666,customer.default
average_duration_20s,1587917140000000000,80289800,auth.default
average_duration_20s,1587917140000000000,38919888.88888889,booking.default
average_duration_20s,1587917140000000000,144947026.31578946,flight.default
average_duration_20s,1587917140000000000,129913413.79310344,istio-ingressgateway
average_duration_20s,1587917160000000000,150213849.31506848,flight.default
average_duration_20s,1587917160000000000,135496260.41666666,istio-ingressgateway
average_duration_20s,1587917160000000000,30366000,auth.default
average_duration_20s,1587917160000000000,1015250,istio-mixer
average_duration_20s,1587917160000000000,9058800,customer.default
average_duration_20s,1587917160000000000,52039272.72727273,booking.default
average_duration_20s,1587917180000000000,19604100,auth.default
average_duration_20s,1587917180000000000,63763538.461538464,booking.default
average_duration_20s,1587917180000000000,151042271.73913044,flight.default
average_duration_20s,1587917180000000000,126099223.21428572,istio-ingressgateway
average_duration_20s,1587917180000000000,10512636.363636363,customer.default
average_duration_20s,1587917200000000000,141996313.55932203,istio-ingressgateway
average_duration_20s,1587917200000000000,9080846.153846154,customer.default
average_duration_20s,1587917200000000000,12238833.333333334,booking.default
average_duration_20s,1587917200000000000,913250,istio-mixer
average_duration_20s,1587917200000000000,21891583.333333332,auth.default
average_duration_20s,1587917200000000000,157229449.43820226,flight.default
average_duration_20s,1587917220000000000,33229258.06451613,booking.default
average_duration_20s,1587917220000000000,125952358.69565217,flight.default
average_duration_20s,1587917220000000000,115923174.6031746,istio-ingressgateway
average_duration_20s,1587917220000000000,10236000,customer.default
average_duration_20s,1587917220000000000,22558111.111111112,auth.default
average_duration_20s,1587917240000000000,6548666.666666667,customer.default
average_duration_20s,1587917240000000000,24379500,auth.default
average_duration_20s,1587917240000000000,139369438.2022472,flight.default
average_duration_20s,1587917240000000000,9959166.666666666,booking.default
average_duration_20s,1587917240000000000,129167991.22807017,istio-ingressgateway
average_duration_20s,1587917260000000000,34024700,booking.default
average_duration_20s,1587917260000000000,126124780.70175439,istio-ingressgateway
average_duration_20s,1587917260000000000,16229250,auth.default
average_duration_20s,1587917260000000000,8206100,customer.default
average_duration_20s,1587917260000000000,130039643.67816092,flight.default
average_duration_20s,1587917280000000000,16879529.411764707,customer.default
average_duration_20s,1587917280000000000,85578394.73684211,flight.default
average_duration_20s,1587917280000000000,137152934.57943925,istio-ingressgateway
