time,predicted,predictedlat,predicted1,predictedlat1,actual
1588435798054,69,69,285,285,24
1588435813754,69,99,374,404,54
1588435828969,69,99,396,426,21
1588435844612,69,70,336,337,41
1588435858766,69,70,429,430,48
1588435872269,69,73,285,289,23
1588435886507,69,73,236,240,181
1588435900877,69,76,279,286,34
1588435914696,69,76,196,203,22
1588435927919,69,76,194,201,22
1588435941542,69,70,295,296,24
1588435955652,69,70,187,188,30
1588435970685,69,70,335,336,17
1588435986485,69,70,367,368,27
1588436002880,54,55,297,298,67
1588436026854,54,58,384,388,29
1588436046540,54,58,169,173,25
1588436086193,54,55,236,237,26
1588436103202,54,55,309,310,215
1588436122355,54,55,236,237,102
1588436137398,54,55,235,236,33
1588436155973,54,55,286,287,39
1588436172336,54,55,235,236,67
1588436188859,54,55,367,368,105
1588436207566,54,55,243,244,130
1588436223058,54,55,288,289,238
1588436240081,54,60,277,283,124
1588436258966,54,60,358,364,45
1588436277359,54,59,455,460,86
1588436293932,54,59,444,449,45
1588436310713,54,56,368,370,214
1588436328434,54,56,449,451,47
1588436345380,54,56,383,385,37
1588436362750,54,56,399,401,51
1588436380935,54,55,268,269,27
1588436396147,54,55,433,434,26
1588436412418,54,56,432,434,16
1588436428656,54,56,387,389,21
1588436445330,54,55,421,422,49
1588436460490,54,55,416,417,31
1588436476465,54,55,360,361,21
1588436491917,54,55,364,365,21
1588436506352,54,55,367,368,19
1588436520503,54,55,468,469,19
1588436533706,54,55,430,431,18
1588436547001,54,55,409,410,25
1588436560419,54,55,501,502,30
1588436574572,54,55,433,434,19
1588436587566,54,55,312,313,19
1588436600793,54,55,417,418,16
1588436614115,54,54,411,411,233
1588436627268,54,54,531,531,20
1588436640617,54,55,408,409,23
1588436653034,54,55,390,391,20
1588436665439,54,55,451,452,16
1588436678324,54,55,305,306,16
1588436690655,59,60,300,301,23
1588436702873,59,60,490,491,17
1588436715236,59,59,211,211,30
1588436727728,59,59,491,491,20
1588436739713,59,59,276,276,16
1588436752391,59,59,322,322,20
1588436765040,59,59,327,327,38
1588436777784,59,59,297,297,25
1588436790522,59,60,378,379,16
1588436803362,59,60,358,359,17
1588436816369,59,59,500,500,17
1588436829017,59,59,380,380,31
1588436841540,59,59,262,262,22
1588436853666,59,60,387,388,15
1588436866084,59,60,271,272,25
1588436878090,59,60,353,354,19
1588436889445,59,59,288,288,17
1588436900763,59,59,401,401,19
1588436911762,59,59,416,416,23
1588436922361,59,60,10000,10001,18
1588436931490,59,60,10000,10001,16
1588436940636,59,60,10000,10001,21
1588436949755,59,60,10000,10001,24
1588436958883,59,60,10000,10001,16
1588436968125,59,60,10000,10001,19
1588436977412,59,60,10000,10001,15
1588436986558,59,60,10000,10001,20
1588436995687,59,60,10000,10001,21
1588437004795,59,60,10000,10001,16
1588437014009,59,60,10000,10001,21
1588437023183,59,60,10000,10001,23
1588437032382,59,59,10000,10000,16
1588437041506,59,59,10000,10000,15
1588437050615,59,59,10000,10000,15
1588437059814,59,59,10000,10000,18
1588437068954,59,60,10000,10001,15
1588437078155,59,60,10000,10001,27
1588437087350,59,60,10000,10001,15
1588437096453,59,60,10000,10001,17
1588437105681,59,60,10000,10001,17
1588437114787,59,60,10000,10001,15
1588437123930,59,60,10000,10001,20
1588437133038,59,60,10000,10001,18
1588437142169,59,59,10000,10000,20
1588437151415,59,59,10000,10000,23
1588437160526,59,59,10000,10000,15
1588437169669,59,59,10000,10000,26
1588437178796,59,59,10000,10000,17
1588437187922,59,59,10000,10000,17
1588437197140,59,59,10000,10000,17
1588437206365,59,59,10000,10000,18
1588437215535,59,59,10000,10000,19
1588437224641,59,59,10000,10000,16
1588437233790,59,59,10000,10000,18
1588437243115,59,59,10000,10000,24
1588437252370,59,59,10000,10000,15
1588437261559,59,59,10000,10000,16
1588437270699,59,59,10000,10000,39
1588437279813,59,59,10000,10000,17
1588437289054,59,60,10000,10001,21
1588437298237,59,60,10000,10001,18
1588437307444,59,60,10000,10001,20
1588437316573,59,60,10000,10001,29
1588437325699,59,59,10000,10000,15
1588437334923,59,59,10000,10000,17
1588437344114,59,59,10000,10000,45
1588437353561,15,15,10000,10000,24
1588437362684,15,15,10000,10000,17
1588437371786,15,15,10000,10000,16
1588437381019,15,15,10000,10000,26
1588437390249,15,15,10000,10000,86
1588437399427,15,16,10000,10001,17
1588437408566,15,16,10000,10001,19
