time,predicted,predictedlat,predicted1,predictedlat1,actual
1588430894308,593,593,10000,10000,50
1588430904587,1704,1704,10000,10000,18
1588430913689,1704,1704,10000,10000,15
1588430922806,1704,1704,10000,10000,23
1588430931930,1704,1704,10000,10000,20
1588430941045,1704,1704,999,999,22
1588430950320,1704,1705,999,1000,19
1588430959427,1704,1705,999,1000,17
1588430968555,1704,1705,999,1000,16
1588430977653,1704,1705,999,1000,16
1588430986766,1704,1704,999,999,18
1588430996059,1704,1704,999,999,28
1588431005199,1704,1704,999,999,37
1588431014311,1704,1704,999,999,19
1588431023431,1704,1705,999,1000,16
1588431032535,1704,1705,999,1000,20
1588431041775,1704,1705,10000,10001,17
1588431050888,1704,1705,10000,10001,17
1588431060100,1704,1705,10000,10001,83
1588431069290,1704,1705,10000,10001,28
1588431078445,1704,1705,10000,10001,18
1588431087733,1704,1705,10000,10001,15
1588431096861,1704,1704,10000,10000,14
1588431105968,1704,1704,10000,10000,22
1588431115191,1704,1704,10000,10000,36
1588431124363,1704,1704,10000,10000,56
1588431133626,1704,1704,10000,10000,22
1588431142745,1704,1704,10000,10000,19
1588431151866,1704,1704,10000,10000,17
1588431160984,1704,1704,10000,10000,16
1588431170218,1704,1704,10000,10000,32
1588431179486,1704,1704,10000,10000,25
1588431188609,1704,1704,10000,10000,17
1588431197727,1704,1704,10000,10000,22
1588431206851,1704,1705,10000,10001,18
1588431215966,1704,1705,10000,10001,25
1588431225216,1704,1705,10000,10001,18
1588431234354,1704,1705,10000,10001,17
1588431243472,1704,1704,10000,10000,16
1588431252588,1704,1704,10000,10000,19
1588431261716,1704,1704,10000,10000,31
1588431270950,1704,1704,10000,10000,19
1588431280120,1704,1705,10000,10001,18
1588431289347,1704,1705,10000,10001,21
1588431298466,1704,1705,10000,10001,16
