name,time,mean,service_name
average_duration_20s,1588086240000000000,2958000,booking.default
average_duration_20s,1588086240000000000,5425000,istio-ingressgateway
average_duration_20s,1588086240000000000,191000,istio-mixer
average_duration_20s,1588086260000000000,1175916789.4736843,istio-ingressgateway
average_duration_20s,1588086260000000000,5272250,customer.default
average_duration_20s,1588086260000000000,1316558357.142857,flight.default
average_duration_20s,1588086260000000000,300160200,auth.default
average_duration_20s,1588086260000000000,636326750,booking.default
average_duration_20s,1588086280000000000,19370666.666666668,auth.default
average_duration_20s,1588086280000000000,545048804.3478261,booking.default
average_duration_20s,1588086280000000000,7891235.294117647,customer.default
average_duration_20s,1588086280000000000,472722191.7808219,istio-ingressgateway
average_duration_20s,1588086280000000000,338394385.9649123,flight.default
average_duration_20s,1588086300000000000,353056151.1627907,istio-ingressgateway
average_duration_20s,1588086300000000000,387017971.8309859,flight.default
average_duration_20s,1588086300000000000,384748188.6792453,booking.default
average_duration_20s,1588086300000000000,338500,istio-mixer
average_duration_20s,1588086300000000000,7773000,auth.default
average_duration_20s,1588086300000000000,10145434.782608695,customer.default
average_duration_20s,1588086320000000000,256772352.94117647,booking.default
average_duration_20s,1588086320000000000,10062166.666666666,customer.default
average_duration_20s,1588086320000000000,291608313.95348835,istio-ingressgateway
average_duration_20s,1588086320000000000,430188095.2380952,flight.default
average_duration_20s,1588086320000000000,14601500,auth.default
average_duration_20s,1588086340000000000,476897563.2183908,flight.default
average_duration_20s,1588086340000000000,39054000,auth.default
average_duration_20s,1588086340000000000,12473105.263157895,customer.default
average_duration_20s,1588086340000000000,178255672.41379312,booking.default
average_duration_20s,1588086340000000000,361307352.27272725,istio-ingressgateway
average_duration_20s,1588086360000000000,136007000,booking.default
average_duration_20s,1588086360000000000,259352716.04938272,istio-ingressgateway
average_duration_20s,1588086360000000000,12836200,auth.default
average_duration_20s,1588086360000000000,447691031.25,flight.default
average_duration_20s,1588086360000000000,13044576.923076924,customer.default
average_duration_20s,1588086380000000000,446000935.483871,flight.default
average_duration_20s,1588086380000000000,9740941.176470589,customer.default
average_duration_20s,1588086380000000000,262314240.74074075,istio-ingressgateway
average_duration_20s,1588086380000000000,190548862.5,booking.default
average_duration_20s,1588086380000000000,17448333.333333332,auth.default
average_duration_20s,1588086400000000000,118132011.49425288,booking.default
average_duration_20s,1588086400000000000,15717200,auth.default
average_duration_20s,1588086400000000000,13123593.75,customer.default
average_duration_20s,1588086400000000000,413113731.70731705,flight.default
average_duration_20s,1588086400000000000,260900428.57142857,istio-ingressgateway
average_duration_20s,1588086420000000000,262501787.87878788,flight.default
average_duration_20s,1588086420000000000,210714441.17647058,istio-ingressgateway
average_duration_20s,1588086420000000000,27643333.333333332,auth.default
average_duration_20s,1588086420000000000,2427500,istio-mixer
average_duration_20s,1588086420000000000,119353367.0886076,booking.default
average_duration_20s,1588086420000000000,12690315.789473685,customer.default
average_duration_20s,1588086440000000000,20019375,auth.default
average_duration_20s,1588086440000000000,11166520,customer.default
average_duration_20s,1588086440000000000,310261437.5,flight.default
average_duration_20s,1588086440000000000,209177219.5121951,istio-ingressgateway
average_duration_20s,1588086440000000000,146010560.74766356,booking.default
average_duration_20s,1588086460000000000,233006651.7857143,istio-ingressgateway
average_duration_20s,1588086460000000000,106886715.9090909,booking.default
average_duration_20s,1588086460000000000,14609500,customer.default
