name,time,mean,service_name
max_duration_20s,1588086240000000000,4102000,booking.default
max_duration_20s,1588086240000000000,5425000,istio-ingressgateway
max_duration_20s,1588086240000000000,282000,istio-mixer
max_duration_20s,1588086260000000000,2545372000,istio-ingressgateway
max_duration_20s,1588086260000000000,7369000,customer.default
max_duration_20s,1588086260000000000,2544612000,flight.default
max_duration_20s,1588086260000000000,780569000,auth.default
max_duration_20s,1588086260000000000,1288485000,booking.default
max_duration_20s,1588086280000000000,46305000,auth.default
max_duration_20s,1588086280000000000,1630486000,booking.default
max_duration_20s,1588086280000000000,36851000,customer.default
max_duration_20s,1588086280000000000,1633930000,istio-ingressgateway
max_duration_20s,1588086280000000000,986743000,flight.default
max_duration_20s,1588086300000000000,1051487000,istio-ingressgateway
max_duration_20s,1588086300000000000,890155000,flight.default
max_duration_20s,1588086300000000000,1049218000,booking.default
max_duration_20s,1588086300000000000,543000,istio-mixer
max_duration_20s,1588086300000000000,7773000,auth.default
max_duration_20s,1588086300000000000,41336000,customer.default
max_duration_20s,1588086320000000000,839554000,booking.default
max_duration_20s,1588086320000000000,30483000,customer.default
max_duration_20s,1588086320000000000,658040000,istio-ingressgateway
max_duration_20s,1588086320000000000,836809000,flight.default
max_duration_20s,1588086320000000000,23552000,auth.default
max_duration_20s,1588086340000000000,865700000,flight.default
max_duration_20s,1588086340000000000,39054000,auth.default
max_duration_20s,1588086340000000000,30127000,customer.default
max_duration_20s,1588086340000000000,791778000,booking.default
max_duration_20s,1588086340000000000,869958000,istio-ingressgateway
max_duration_20s,1588086360000000000,762907000,booking.default
max_duration_20s,1588086360000000000,1149463000,istio-ingressgateway
max_duration_20s,1588086360000000000,26353000,auth.default
max_duration_20s,1588086360000000000,1097091000,flight.default
max_duration_20s,1588086360000000000,28251000,customer.default
max_duration_20s,1588086380000000000,1035116000,flight.default
max_duration_20s,1588086380000000000,20301000,customer.default
max_duration_20s,1588086380000000000,1061572000,istio-ingressgateway
max_duration_20s,1588086380000000000,1045374000,booking.default
max_duration_20s,1588086380000000000,26573000,auth.default
max_duration_20s,1588086400000000000,692120000,booking.default
max_duration_20s,1588086400000000000,34998000,auth.default
max_duration_20s,1588086400000000000,38743000,customer.default
max_duration_20s,1588086400000000000,929397000,flight.default
max_duration_20s,1588086400000000000,952359000,istio-ingressgateway
max_duration_20s,1588086420000000000,785510000,flight.default
max_duration_20s,1588086420000000000,746942000,istio-ingressgateway
max_duration_20s,1588086420000000000,33553000,auth.default
max_duration_20s,1588086420000000000,4791000,istio-mixer
max_duration_20s,1588086420000000000,789410000,booking.default
max_duration_20s,1588086420000000000,26937000,customer.default
max_duration_20s,1588086440000000000,44768000,auth.default
max_duration_20s,1588086440000000000,28395000,customer.default
max_duration_20s,1588086440000000000,955370000,flight.default
max_duration_20s,1588086440000000000,803023000,istio-ingressgateway
max_duration_20s,1588086440000000000,957507000,booking.default
max_duration_20s,1588086460000000000,1272112000,istio-ingressgateway
max_duration_20s,1588086460000000000,824286000,booking.default
max_duration_20s,1588086460000000000,62928000,customer.default
max_duration_20s,1588086460000000000,42253000,auth.default
max_duration_20s,1588086460000000000,943077000,flight.default
max_duration_20s,1588086480000000000,24696000,auth.default
max_duration_20s,1588086480000000000,700852000,flight.default
max_duration_20s,1588086480000000000,708819000,booking.default
max_duration_20s,1588086480000000000,717840000,istio-ingressgateway
max_duration_20s,1588086480000000000,47886000,customer.default
max_duration_20s,1588086500000000000,1086889000,istio-ingressgateway
max_duration_20s,1588086500000000000,30242000,customer.default
max_duration_20s,1588086500000000000,946316000,flight.default
max_duration_20s,1588086500000000000,44448000,auth.default
max_duration_20s,1588086500000000000,485902000,booking.default
max_duration_20s,1588086520000000000,50228000,auth.default
max_duration_20s,1588086520000000000,2027466000,booking.default
max_duration_20s,1588086520000000000,29023000,customer.default
max_duration_20s,1588086520000000000,611586000,istio-ingressgateway
max_duration_20s,1588086520000000000,2026044000,flight.default
max_duration_20s,1588086540000000000,849563000,istio-ingressgateway
max_duration_20s,1588086540000000000,766159000,flight.default
max_duration_20s,1588086540000000000,304204000,booking.default
max_duration_20s,1588086540000000000,276000,istio-mixer
max_duration_20s,1588086540000000000,73688000,auth.default
max_duration_20s,1588086540000000000,42951000,customer.default
max_duration_20s,1588086560000000000,53892000,auth.default
max_duration_20s,1588086560000000000,65176000,customer.default
max_duration_20s,1588086560000000000,406477000,booking.default
max_duration_20s,1588086560000000000,743021000,istio-ingressgateway
max_duration_20s,1588086560000000000,403086000,flight.default
max_duration_20s,1588086560000000000,21588000,istio-mixer
max_duration_20s,1588086580000000000,489650000,flight.default
max_duration_20s,1588086580000000000,490648000,booking.default
max_duration_20s,1588086580000000000,36140000,auth.default
max_duration_20s,1588086580000000000,52594000,customer.default
max_duration_20s,1588086580000000000,598128000,istio-ingressgateway
max_duration_20s,1588086600000000000,46646000,customer.default
max_duration_20s,1588086600000000000,649722000,istio-ingressgateway
max_duration_20s,1588086600000000000,218909000,booking.default
max_duration_20s,1588086600000000000,517084000,flight.default
max_duration_20s,1588086600000000000,5910000,auth.default
max_duration_20s,1588086620000000000,447646000,flight.default
max_duration_20s,1588086620000000000,20675000,auth.default
max_duration_20s,1588086620000000000,873695000,istio-ingressgateway
max_duration_20s,1588086620000000000,25805000,customer.default
max_duration_20s,1588086620000000000,448875000,booking.default
max_duration_20s,1588086640000000000,25517000,customer.default
max_duration_20s,1588086640000000000,272708000,booking.default
max_duration_20s,1588086640000000000,41791000,auth.default
max_duration_20s,1588086640000000000,260284000,flight.default
max_duration_20s,1588086640000000000,720200000,istio-ingressgateway
max_duration_20s,1588086660000000000,259388000,flight.default
max_duration_20s,1588086660000000000,444735000,istio-ingressgateway
max_duration_20s,1588086660000000000,261583000,booking.default
max_duration_20s,1588086660000000000,2321000,istio-mixer
max_duration_20s,1588086660000000000,72435000,customer.default
max_duration_20s,1588086660000000000,54899000,auth.default
max_duration_20s,1588086680000000000,220366000,booking.default
max_duration_20s,1588086680000000000,31469000,auth.default
max_duration_20s,1588086680000000000,666788000,flight.default
max_duration_20s,1588086680000000000,919666000,istio-ingressgateway
max_duration_20s,1588086680000000000,23339000,customer.default
max_duration_20s,1588086700000000000,1027625000,istio-ingressgateway
max_duration_20s,1588086700000000000,37349000,customer.default
max_duration_20s,1588086700000000000,26414000,auth.default
max_duration_20s,1588086700000000000,374909000,booking.default
max_duration_20s,1588086700000000000,303455000,flight.default
max_duration_20s,1588086720000000000,197387000,booking.default
max_duration_20s,1588086720000000000,249728000,flight.default
max_duration_20s,1588086720000000000,26467000,customer.default
max_duration_20s,1588086720000000000,3335000,istio-mixer
max_duration_20s,1588086720000000000,747053000,istio-ingressgateway
max_duration_20s,1588086720000000000,23396000,auth.default
max_duration_20s,1588086740000000000,812539000,istio-ingressgateway
max_duration_20s,1588086740000000000,35056000,auth.default
max_duration_20s,1588086740000000000,24540000,customer.default
max_duration_20s,1588086740000000000,167145000,booking.default
max_duration_20s,1588086740000000000,134271000,flight.default
max_duration_20s,1588086740000000000,2184000,istio-mixer
max_duration_20s,1588086760000000000,155782000,flight.default
max_duration_20s,1588086760000000000,38532000,customer.default
max_duration_20s,1588086760000000000,645065000,istio-ingressgateway
max_duration_20s,1588086760000000000,36473000,auth.default
max_duration_20s,1588086760000000000,306254000,booking.default
max_duration_20s,1588086780000000000,20690000,auth.default
max_duration_20s,1588086780000000000,304460000,booking.default
max_duration_20s,1588086780000000000,20042000,customer.default
max_duration_20s,1588086780000000000,137000,istio-mixer
max_duration_20s,1588086780000000000,247443000,flight.default
max_duration_20s,1588086780000000000,695328000,istio-ingressgateway
max_duration_20s,1588086800000000000,19218000,customer.default
max_duration_20s,1588086800000000000,676939000,istio-ingressgateway
max_duration_20s,1588086800000000000,18289000,auth.default
max_duration_20s,1588086800000000000,222628000,booking.default
max_duration_20s,1588086800000000000,107878000,flight.default
max_duration_20s,1588086820000000000,264476000,booking.default
max_duration_20s,1588086820000000000,197076000,flight.default
max_duration_20s,1588086820000000000,718892000,istio-ingressgateway
max_duration_20s,1588086820000000000,58975000,customer.default
max_duration_20s,1588086820000000000,20366000,auth.default
max_duration_20s,1588086840000000000,28417000,customer.default
max_duration_20s,1588086840000000000,23493000,auth.default
max_duration_20s,1588086840000000000,276021000,flight.default
max_duration_20s,1588086840000000000,13134000,istio-mixer
max_duration_20s,1588086840000000000,262795000,booking.default
max_duration_20s,1588086840000000000,663005000,istio-ingressgateway
max_duration_20s,1588086860000000000,1243097000,booking.default
max_duration_20s,1588086860000000000,2055333000,istio-ingressgateway
max_duration_20s,1588086860000000000,561193000,flight.default
max_duration_20s,1588086860000000000,33490000,customer.default
max_duration_20s,1588086860000000000,599009000,auth.default
max_duration_20s,1588086860000000000,4263000,istio-mixer
max_duration_20s,1588086880000000000,21418000,auth.default
max_duration_20s,1588086880000000000,119196000,flight.default
max_duration_20s,1588086880000000000,211751000,booking.default
max_duration_20s,1588086880000000000,881630000,istio-ingressgateway
max_duration_20s,1588086880000000000,35202000,customer.default
max_duration_20s,1588086900000000000,2405409000,istio-ingressgateway
max_duration_20s,1588086900000000000,38126000,customer.default
max_duration_20s,1588086900000000000,162720000,flight.default
max_duration_20s,1588086900000000000,600766000,istio-mixer
max_duration_20s,1588086900000000000,49162000,auth.default
max_duration_20s,1588086900000000000,302628000,booking.default
max_duration_20s,1588086920000000000,24909000,auth.default
max_duration_20s,1588086920000000000,299760000,booking.default
max_duration_20s,1588086920000000000,197260000,flight.default
max_duration_20s,1588086920000000000,1041390000,istio-ingressgateway
