name,time,max,service_name
max_duration_60s,1588086240000000000,780569000,auth.default
max_duration_60s,1588086240000000000,282000,istio-mixer
max_duration_60s,1588086240000000000,2432792000,booking.default
max_duration_60s,1588086240000000000,2544612000,flight.default
max_duration_60s,1588086240000000000,2545372000,istio-ingressgateway
max_duration_60s,1588086240000000000,36851000,customer.default
max_duration_60s,1588086300000000000,1051487000,istio-ingressgateway
max_duration_60s,1588086300000000000,41336000,customer.default
max_duration_60s,1588086300000000000,1049218000,booking.default
max_duration_60s,1588086300000000000,39054000,auth.default
max_duration_60s,1588086300000000000,543000,istio-mixer
max_duration_60s,1588086300000000000,890155000,flight.default
max_duration_60s,1588086360000000000,1045374000,booking.default
max_duration_60s,1588086360000000000,1122926000,flight.default
max_duration_60s,1588086360000000000,1158213000,istio-ingressgateway
max_duration_60s,1588086360000000000,38743000,customer.default
max_duration_60s,1588086360000000000,34998000,auth.default
max_duration_60s,1588086420000000000,62928000,customer.default
max_duration_60s,1588086420000000000,44768000,auth.default
max_duration_60s,1588086420000000000,955370000,flight.default
max_duration_60s,1588086420000000000,4791000,istio-mixer
max_duration_60s,1588086420000000000,957507000,booking.default
max_duration_60s,1588086420000000000,1272112000,istio-ingressgateway
max_duration_60s,1588086480000000000,2026044000,flight.default
max_duration_60s,1588086480000000000,1086889000,istio-ingressgateway
max_duration_60s,1588086480000000000,47886000,customer.default
max_duration_60s,1588086480000000000,50228000,auth.default
max_duration_60s,1588086480000000000,2027466000,booking.default
max_duration_60s,1588086540000000000,73688000,auth.default
max_duration_60s,1588086540000000000,490648000,booking.default
max_duration_60s,1588086540000000000,849563000,istio-ingressgateway
max_duration_60s,1588086540000000000,21588000,istio-mixer
max_duration_60s,1588086540000000000,766159000,flight.default
max_duration_60s,1588086540000000000,65176000,customer.default
max_duration_60s,1588086600000000000,873695000,istio-ingressgateway
max_duration_60s,1588086600000000000,46646000,customer.default
max_duration_60s,1588086600000000000,41791000,auth.default
max_duration_60s,1588086600000000000,482487000,booking.default
max_duration_60s,1588086600000000000,517084000,flight.default
max_duration_60s,1588086660000000000,669393000,booking.default
max_duration_60s,1588086660000000000,666788000,flight.default
max_duration_60s,1588086660000000000,72435000,customer.default
max_duration_60s,1588086660000000000,2321000,istio-mixer
max_duration_60s,1588086660000000000,1027625000,istio-ingressgateway
max_duration_60s,1588086660000000000,54899000,auth.default
max_duration_60s,1588086720000000000,812539000,istio-ingressgateway
max_duration_60s,1588086720000000000,36473000,auth.default
max_duration_60s,1588086720000000000,38532000,customer.default
max_duration_60s,1588086720000000000,306254000,booking.default
max_duration_60s,1588086720000000000,249728000,flight.default
max_duration_60s,1588086720000000000,3335000,istio-mixer
max_duration_60s,1588086780000000000,247443000,flight.default
max_duration_60s,1588086780000000000,137000,istio-mixer
max_duration_60s,1588086780000000000,58975000,customer.default
max_duration_60s,1588086780000000000,718892000,istio-ingressgateway
max_duration_60s,1588086780000000000,20690000,auth.default
max_duration_60s,1588086780000000000,304460000,booking.default
max_duration_60s,1588086840000000000,599009000,auth.default
max_duration_60s,1588086840000000000,1243097000,booking.default
max_duration_60s,1588086840000000000,35202000,customer.default
max_duration_60s,1588086840000000000,561193000,flight.default
max_duration_60s,1588086840000000000,13134000,istio-mixer
max_duration_60s,1588086840000000000,2055333000,istio-ingressgateway
max_duration_60s,1588086900000000000,600766000,istio-mixer
max_duration_60s,1588086900000000000,2405409000,istio-ingressgateway
max_duration_60s,1588086900000000000,40735000,customer.default
max_duration_60s,1588086900000000000,49162000,auth.default
max_duration_60s,1588086900000000000,302628000,booking.default
max_duration_60s,1588086900000000000,197260000,flight.default
max_duration_60s,1588086960000000000,246534000,booking.default
max_duration_60s,1588086960000000000,188266000,flight.default
max_duration_60s,1588086960000000000,31157000,customer.default
max_duration_60s,1588086960000000000,241000,istio-mixer
max_duration_60s,1588086960000000000,1078598000,istio-ingressgateway
max_duration_60s,1588086960000000000,32847000,auth.default
max_duration_60s,1588087020000000000,1792637000,istio-ingressgateway
max_duration_60s,1588087020000000000,46143000,auth.default
max_duration_60s,1588087020000000000,244220000,customer.default
max_duration_60s,1588087020000000000,377561000,booking.default
max_duration_60s,1588087020000000000,162221000,flight.default
max_duration_60s,1588087020000000000,652967000,istio-mixer
max_duration_60s,1588087080000000000,77053000,flight.default
max_duration_60s,1588087080000000000,12464000,istio-mixer
max_duration_60s,1588087080000000000,43706000,customer.default
max_duration_60s,1588087080000000000,1249044000,istio-ingressgateway
max_duration_60s,1588087080000000000,35613000,auth.default
max_duration_60s,1588087080000000000,201585000,booking.default
